interview-sa-analyst
#;Блок;Тип;Уровень;Текст;Ответ на 2 / Ожидаемое;Ответ на 3 / Отлично
1;Фундамент;Вопрос;;Заказчик говорит: «Хотим личный кабинет». С чего начнёте и что в итоге отдадите команде?;Уточняющие вопросы: кто пользователь, какие функции, сценарии, интеграции, сроки. Результат: список функций, user flow, макеты/wireframe или описание экранов, acceptance criteria;+ out of scope, риски, зависимости, приоритеты MVP vs потом
2;Фундамент;Вопрос;;В чём разница между FR и NFR?;FR — что делает система. NFR — как (скорость; надёжность
3;Фундамент;Вопрос;;Два сервиса должны обмениваться данными. Что вы покажете команде на встрече?;Схема «кто с кем», sequence-диаграмма, поля запроса/ответа, коды ошибок;+ retry, таймауты, кто за что отвечает, test-кейсы
4;REST;Вопрос;;Проектируете API для заказов. Какие HTTP-методы используете и что каждый делает? Какие неочевидные случаи учтёте?;GET — читать, POST — создать, PUT — заменить целиком, PATCH — частично обновить, DELETE — удалить. Статусы: 200/201/204, 400/404/409. GET/PUT/DELETE идемпотентны, POST — нет;"+ PUT vs PATCH; 404 vs 409; 204 без body; soft delete; Idempotency-Key; 405"
5;REST;Вопрос;;В каталоге 50 000 товаров. Как API должно отдавать их на страницу с 20 карточками, чтобы не грузить всё сразу?;"Пагинация: limit + offset или page + size; данные + total или флаг «есть ещё»";+ cursor-based, сортировка, макс. limit
6;REST;Вопрос;;Пользователь дважды нажал «Оплатить». Как сделать; чтобы заказ не создался дважды?;Idempotency-Key в заголовке, сервер не дублирует
7;API;Вопрос;;Заказчик просит: «Сделайте API для нашего продукта». REST — все слышали. А что ещё бывает? Когда REST, а когда нет?;Сам называет gRPC и GraphQL + когда REST;"+ примеры выбора; минусы GraphQL; gRPC gateway"
8;gRPC;Вопрос;;Разработчик делает gRPC-сервис «Заказы». Как вы опишете .proto-контракт в ТЗ?;service, rpc, message, unary/streaming, примеры;+ backward compatibility, deprecated, лимиты message
9;PostgreSQL;Вопрос;;Список заказов (номер, дата, сумма, статус) + деталка с товарами. Как храните в PostgreSQL?;orders + order_items, FK, индекс на user_id;+ constraints, updated_at, numeric, миграции
10;PostgreSQL;Вопрос;;Списать деньги и создать заказ — почему в одной транзакции?;Либо оба проходят; либо ни одно
11;PostgreSQL;Вопрос;;Заказ в БД записали, платёжка упала — что делать?;Retry, статус «ожидает оплаты», фоновая отправка;+ компенсация, saga, очередь
12;PostgreSQL;Вопрос;;Таблица jobs (pending). 4 пода берут задачи. Как не ждать друг друга и не взять одну задачу дважды?;SELECT … FOR UPDATE SKIP LOCKED + UPDATE status=processing в одной транзакции;"+ lease/TTL; индекс (status, created_at); идемпотентность; Kafka как альтернатива"
13;Интеграции;Вопрос;;Генерация отчёта 5 минут. Клиент не ждёт открытый HTTP-запрос. Как?;"202 + job_id; polling GET /jobs/{id}; webhook; SSE";+ очередь, статусы, TTL, retry
14;Kafka;Вопрос;;Заказ создан — уведомить склад и биллинг. Topic, producer, consumer, partition?;"Topic order.created; producer публикует; consumers читают; partition — параллелизм и порядок по ключу";+ consumer group, at-least-once, DLQ
15;Kafka;Вопрос;;Заказ в PostgreSQL сохранили; в Kafka не ушло (или наоборот). Как решить?;"Outbox: заказ + outbox в одной транзакции; процесс публикует в Kafka"
16;AI;Вопрос;;«Найди заказ и оформи возврат» — чем чат с LLM отличается от AI-агента?;Чат — текст. Агент — tools/API;+ подтверждение, лимиты, audit
17;AI;Вопрос;;Бот поддержки: ответы + тикеты в Jira. Как понимает intent?;Таблица инентов + примеры фраз + действие;+ fallback, confidence, логирование
18;AI;Вопрос;;«Как сменить пароль?» vs «заведи тикет, не работает принтер»;RAG vs tool Jira;+ ACL, обязательные поля
19;AI;Вопрос;;Не хватает данных для тикета — уточняющие вопросы?;"Конкретные вопросы; лимит попыток; эскалация";+ контекст, обязательные поля Jira
20;AI;Вопрос;;Риски бота поддержки (#17–19)?;Галлюцинации, лишний тикет, утечка, cost;+ HITL, eval, версии промптов, audit
;Мета;Инструкция;;Порог до AI: средний балл 1–15 ≥ 1.5. AI: 16–20. System Design: 45–60 мин после вопросов.;;
;Мета;Инструкция;;"Выбор задачи SD: средний 1–15 < 1.5 → SD-A; 1.5–2.0 → SD-B; > 2.0 → SD-C";;
SD-A;System Design;Задача;;"Спроектируйте сервис заказов.

Функции: создать заказ, оплатить, посмотреть статус, список заказов пользователя.
Интеграции: платёжный провайдер (REST), уведомление склада (Kafka).
Ограничения: идемпотентность оплаты, согласованность БД и платёжки, outbox для событий.

Ожидаемый артефакт: схема сервисов, REST API (ключевые endpoints), схема PostgreSQL, поток оплаты, outbox → Kafka, NFR, риски.";Сервисы + REST + orders/order_items + outbox + retry оплаты;"+ saga/compensation; SELECT FOR UPDATE SKIP LOCKED для workers; мониторинг"
SD-B;System Design;Задача;;"Спроектируйте бота поддержки для сотрудников.

Функции: ответы по базе знаний (Confluence/PDF), создание тикета в Jira, уточняющие вопросы, эскалация на оператора.
Ограничения: 200 пользователей, 20 одновременных сессий, ролевой доступ к документам.

Ожидаемый артефакт: схема, intent classification, RAG pipeline, Jira tool API, хранение диалогов в PostgreSQL, NFR, риски.";"Intent → RAG или Jira; ACL на документы; sessions/messages в БД";"+ eval качества; лимит уточнений; audit log тикетов"
SD-C;System Design;Задача;;"Спроектируйте корпоративного AI-ассистента поддержки.

Функции: RAG по Confluence/PDF, создание тикета в Jira, проверка статуса в CRM (REST), уточняющие вопросы, эскалация на человека, аудит действий агента.
Ограничения: 500 пользователей, 50 одновременных сессий, ролевой доступ, ограниченный бюджет на LLM.

Ожидаемый артефакт: схема сервисов, граф агента (LangGraph), REST/gRPC контракты tools, PostgreSQL (sessions, messages, checkpoint/state), Kafka-события, NFR, безопасность, риски.";"Граф с ветвлениями: classify → RAG / clarify / Jira / CRM / HITL; checkpoint в PostgreSQL";"+ cost control; prompt versioning; recovery после сбоя; eval; prompt injection"
SD-1;System Design;Критерий;;Схема сервисов и границы;2–3 сервиса + ответственность;Bounded contexts + trade-offs
SD-2;System Design;Критерий;;REST / gRPC / GraphQL: выбор и контракты;Endpoints + ошибки;Idempotency + async + rate limits
SD-3;System Design;Критерий;;PostgreSQL + outbox + конкурентные workers;sessions/messages или orders + outbox;SKIP LOCKED + retention + partitioning
SD-4;System Design;Критерий;;Kafka: topic producer consumer;Topic + producer + 2 consumers;Partitions + consumer group + DLQ
SD-5;System Design;Критерий;;NFR: скорость надёжность мониторинг;latency + availability;SLO + алерты + cost
SD-6;System Design;Критерий;;Бот / AI: классификация RAG Jira уточнения риски;Intent + RAG + Jira;LangGraph + HITL + checkpoint + eval
